Elapsed Time, AVG Throughput, AVG Queue Size, AVG Waiting Time, AVG Service Time, AVG Response Time, AVG SET Response Time, AVG GET Response Time, AVG MULTI-GET Response Time, #SETS, #GETS, #MULTIGETS, GET MissRatio, MULTI-GET MissRatio, AVG MULTI-GET Size
 5.00, 5286, 38, 7.624824, 5.169369, 12.921120, 12.921120, 0.000000, 0.000000, 26434, 0, 0, 0.00, 0.00, 0
10.00, 6566, 39, 6.555661, 4.491634, 11.129879, 11.129879, 0.000000, 0.000000, 32831, 0, 0, 0.00, 0.00, 0
15.00, 6729, 40, 6.473115, 4.329005, 10.869180, 10.869180, 0.000000, 0.000000, 33646, 0, 0, 0.00, 0.00, 0
20.00, 6632, 39, 6.498193, 4.477634, 11.043489, 11.043489, 0.000000, 0.000000, 33161, 0, 0, 0.00, 0.00, 0
25.00, 6664, 39, 6.470889, 4.425329, 10.981927, 10.981927, 0.000000, 0.000000, 33324, 0, 0, 0.00, 0.00, 0
30.00, 6663, 40, 6.408415, 4.445450, 10.925055, 10.925055, 0.000000, 0.000000, 33319, 0, 0, 0.00, 0.00, 0
35.00, 6657, 40, 6.408385, 4.416531, 10.921738, 10.921738, 0.000000, 0.000000, 33287, 0, 0, 0.00, 0.00, 0
40.00, 6549, 40, 6.741162, 4.567232, 11.406886, 11.406886, 0.000000, 0.000000, 32746, 0, 0, 0.00, 0.00, 0
45.00, 6710, 40, 6.332473, 4.391985, 10.809847, 10.809847, 0.000000, 0.000000, 33554, 0, 0, 0.00, 0.00, 0
50.00, 6585, 40, 6.451004, 4.499788, 11.024575, 11.024575, 0.000000, 0.000000, 32929, 0, 0, 0.00, 0.00, 0
55.00, 6619, 39, 6.403796, 4.504211, 10.976866, 10.976866, 0.000000, 0.000000, 33095, 0, 0, 0.00, 0.00, 0
60.00, 6743, 41, 6.353298, 4.349315, 10.777198, 10.777198, 0.000000, 0.000000, 33716, 0, 0, 0.00, 0.00, 0
65.00, 6392, 39, 6.655467, 4.666419, 11.397369, 11.397369, 0.000000, 0.000000, 31964, 0, 0, 0.00, 0.00, 0
70.00, 6411, 40, 6.835583, 4.724167, 11.641453, 11.641453, 0.000000, 0.000000, 32057, 0, 0, 0.00, 0.00, 0
70.00, 334, 5, 2.756211, 4.650138, 7.594765, 7.594765, 0.000000, 0.000000, 1670, 0, 0, 0.00, 0.00, 0
Interval, Responses
15.5, 1623
15.6, 1507
15.7, 1564
15.8, 1549
15.9, 1450
16.0, 1407
16.1, 1435
16.2, 1365
16.3, 1361
16.4, 1335
16.5, 1370
16.6, 1385
16.7, 1369
16.8, 1357
16.9, 1278
17.0, 1263
17.1, 1351
17.2, 1443
17.3, 1367
17.4, 1364
17.5, 1431
17.6, 1485
17.7, 1283
17.8, 1250
17.9, 1184
18.0, 1109
18.1, 1038
18.2, 1137
18.3, 1083
18.4, 1098
18.5, 1054
18.6, 1109
18.7, 1115
18.8, 1133
18.9, 1140
19.0, 1033
19.1, 991
19.2, 978
19.3, 877
19.4, 856
19.5, 773
19.6, 673
19.7, 612
19.8, 513
19.9, 480
20.0, 426
20.1, 359
20.2, 292
20.3, 342
20.4, 306
20.5, 307
20.6, 272
20.7, 315
20.8, 308
20.9, 230
21.0, 214
21.1, 231
21.2, 221
21.3, 217
21.4, 203
21.5, 226
21.6, 185
21.7, 160
21.8, 168
21.9, 140
22.0, 162
22.1, 170
22.2, 143
22.3, 112
22.4, 147
22.5, 138
22.6, 110
22.7, 130
22.8, 138
22.9, 148
23.0, 148
23.1, 108
23.2, 104
23.3, 91
23.4, 125
23.5, 107
23.6, 92
23.7, 83
23.8, 77
23.9, 72
24.0, 87
24.1, 106
24.2, 85
24.3, 92
24.4, 107
24.5, 90
24.6, 75
24.7, 66
24.8, 68
24.9, 61
25.0, 52
25.1, 53
25.2, 66
25.3, 80
25.4, 78
25.5, 85
25.6, 65
25.7, 65
25.8, 49
25.9, 42
26.0, 26
26.1, 27
26.2, 47
26.3, 36
26.4, 58
26.5, 48
26.6, 31
26.7, 38
26.8, 45
26.9, 31
27.0, 60
27.1, 50
27.2, 56
27.3, 67
27.4, 65
27.5, 60
27.6, 41
27.7, 39
27.8, 40
27.9, 33
28.0, 33
28.1, 51
28.2, 48
28.3, 38
28.4, 38
28.5, 56
28.6, 46
28.7, 48
28.8, 30
28.9, 42
29.0, 42
29.1, 52
29.2, 52
29.3, 46
29.4, 36
29.5, 34
29.6, 30
29.7, 32
29.8, 34
29.9, 27
30.0, 32
30.1, 24
30.2, 16
30.3, 21
30.4, 25
30.5, 29
30.6, 34
30.7, 30
30.8, 29
30.9, 26
31.0, 28
31.1, 13
31.2, 14
31.3, 18
31.4, 20
31.5, 18
31.6, 27
31.7, 32
31.8, 26
31.9, 29
32.0, 29
32.1, 21
32.2, 31
32.3, 22
32.4, 15
32.5, 26
32.6, 22
32.7, 32
32.8, 23
32.9, 13
33.0, 10
33.1, 33
33.2, 27
33.3, 28
33.4, 23
33.5, 14
33.6, 14
33.7, 12
33.8, 14
33.9, 7
34.0, 5
34.1, 10
34.2, 14
34.3, 16
34.4, 13
34.5, 20
34.6, 20
34.7, 31
34.8, 38
34.9, 42
35.0, 38
35.1, 39
35.2, 29
35.3, 38
35.4, 30
35.5, 12
35.6, 15
35.7, 30
35.8, 19
35.9, 30
36.0, 38
36.1, 30
36.2, 36
36.3, 47
36.4, 53
36.5, 31
36.6, 23
36.7, 14
36.8, 19
36.9, 17
37.0, 22
37.1, 18
37.2, 23
37.3, 19
37.4, 19
37.5, 25
37.6, 35
37.7, 32
37.8, 29
37.9, 37
38.0, 27
38.1, 24
38.2, 18
38.3, 22
38.4, 28
38.5, 24
38.6, 16
38.7, 14
38.8, 10
38.9, 15
39.0, 11
39.1, 21
39.2, 16
39.3, 20
39.4, 24
39.5, 23
39.6, 21
39.7, 23
39.8, 15
39.9, 15
40.0, 15
40.1, 8
40.2, 17
40.3, 7
40.4, 11
40.5, 6
40.6, 9
40.7, 15
40.8, 12
40.9, 8
41.0, 21
41.1, 12
41.2, 17
41.3, 20
41.4, 15
41.5, 29
41.6, 25
41.7, 23
41.8, 17
41.9, 25
42.0, 21
42.1, 15
42.2, 14
42.3, 12
42.4, 15
42.5, 16
42.6, 19
42.7, 23
42.8, 13
42.9, 12
43.0, 10
43.1, 7
43.2, 8
43.3, 10
43.4, 12
43.5, 6
43.6, 13
43.7, 13
43.8, 15
43.9, 13
44.0, 8
44.1, 12
44.2, 15
44.3, 12
44.4, 13
44.5, 18
44.6, 17
44.7, 11
44.8, 18
44.9, 14
45.0, 5
45.1, 8
45.2, 11
45.3, 1
45.4, 5
45.5, 2
45.6, 7
45.7, 11
45.8, 5
45.9, 6
46.0, 7
46.1, 7
46.2, 10
46.3, 8
46.4, 5
46.5, 4
46.6, 2
46.7, 4
46.8, 1
46.9, 0
47.0, 2
47.1, 2
47.2, 3
47.3, 1
47.4, 3
47.5, 2
47.6, 2
47.7, 3
47.8, 0
47.9, 5
48.0, 1
48.1, 3
48.2, 4
48.3, 2
48.4, 5
48.5, 3
48.6, 3
48.7, 1
48.8, 10
48.9, 4
49.0, 6
49.1, 6
49.2, 10
49.3, 6
49.4, 13
49.5, 5
49.6, 6
49.7, 5
49.8, 7
49.9, 8
50.0, 5
50.1, 8
50.2, 2
50.3, 1
50.4, 3
50.5, 6
50.6, 1
50.7, 1
50.8, 4
50.9, 5
51.0, 2
51.1, 1
51.2, 1
51.3, 3
51.4, 0
51.5, 2
51.6, 1
51.7, 1
51.8, 2
51.9, 1
52.0, 1
52.1, 0
52.2, 0
52.3, 1
52.4, 0
52.5, 1
52.6, 0
52.7, 0
52.8, 0
52.9, 0
53.0, 0
53.1, 0
53.2, 2
53.3, 3
53.4, 1
53.5, 2
53.6, 9
53.7, 3
53.8, 1
53.9, 3
54.0, 3
54.1, 1
54.2, 0
54.3, 2
54.4, 9
54.5, 7
54.6, 4
54.7, 4
54.8, 4
54.9, 0
55.0, 0
55.1, 0
55.2, 0
55.3, 0
55.4, 0
55.5, 0
55.6, 0
55.7, 0
55.8, 0
55.9, 0
56.0, 1
56.1, 4
56.2, 0
56.3, 0
56.4, 0
56.5, 0
56.6, 0
56.7, 1
56.8, 0
56.9, 1
57.0, 0
57.1, 0
57.2, 0
57.3, 3
57.4, 1
57.5, 0
57.6, 1
57.7, 2
57.8, 4
57.9, 1
58.0, 4
58.1, 0
58.2, 0
58.3, 0
58.4, 0
58.5, 0
58.6, 0
58.7, 0
58.8, 0
58.9, 1
59.0, 0
59.1, 1
59.2, 4
59.3, 3
59.4, 8
59.5, 5
59.6, 3
59.7, 2
59.8, 1
59.9, 1
60.0, 1
60.1, 0
60.2, 4
60.3, 2
60.4, 0
60.5, 1
60.6, 1
60.7, 0
60.8, 0
60.9, 0
61.0, 0
61.1, 0
61.2, 0
61.3, 0
61.4, 0
61.5, 0
61.6, 0
61.7, 0
61.8, 2
61.9, 0
62.0, 1
62.1, 0
62.2, 3
62.3, 3
62.4, 3
62.5, 5
62.6, 3
62.7, 7
62.8, 1
62.9, 2
63.0, 2
63.1, 2
63.2, 2
63.3, 3
63.4, 2
63.5, 2
63.6, 0
63.7, 2
63.8, 2
63.9, 3
64.0, 0
64.1, 1
64.2, 6
64.3, 7
64.4, 2
64.5, 3
64.6, 0
64.7, 0
64.8, 1
64.9, 0
65.0, 0
65.1, 0
65.2, 0
65.3, 0
65.4, 1
65.5, 0
65.6, 1
65.7, 0
65.8, 0
65.9, 0
66.0, 0
66.1, 0
66.2, 0
66.3, 0
66.4, 0
66.5, 0
66.6, 0
66.7, 0
66.8, 0
66.9, 0
67.0, 0
67.1, 0
67.2, 0
67.3, 0
67.4, 0
67.5, 0
67.6, 0
67.7, 0
67.8, 0
67.9, 0
68.0, 0
68.1, 0
68.2, 0
68.3, 0
68.4, 0
68.5, 0
68.6, 0
68.7, 0
68.8, 0
68.9, 0
69.0, 0
69.1, 0
69.2, 0
69.3, 0
69.4, 0
69.5, 0
69.6, 0
69.7, 0
69.8, 0
69.9, 4
70.0, 2
70.1, 8
70.2, 4
70.3, 1
70.4, 3
70.5, 2
70.6, 1
70.7, 0
70.8, 0
70.9, 2
71.0, 0
71.1, 0
71.2, 1
71.3, 0
71.4, 0
71.5, 0
71.6, 0
71.7, 0
71.8, 0
71.9, 0
72.0, 1
72.1, 0
72.2, 0
72.3, 0
72.4, 0
72.5, 0
72.6, 1
72.7, 0
72.8, 0
72.9, 0
73.0, 0
73.1, 0
73.2, 0
73.3, 0
73.4, 0
73.5, 0
73.6, 0
73.7, 0
73.8, 0
73.9, 0
74.0, 0
74.1, 0
74.2, 0
74.3, 0
74.4, 0
74.5, 0
74.6, 0
74.7, 0
74.8, 0
74.9, 0
75.0, 0
75.1, 0
75.2, 0
75.3, 0
75.4, 0
75.5, 0
75.6, 0
75.7, 0
75.8, 0
75.9, 0
76.0, 0
76.1, 0
76.2, 0
76.3, 0
76.4, 0
76.5, 0
76.6, 0
76.7, 0
76.8, 0
76.9, 0
77.0, 0
77.1, 0
77.2, 0
77.3, 0
77.4, 0
77.5, 0
77.6, 0
77.7, 0
77.8, 0
77.9, 0
78.0, 0
78.1, 0
78.2, 0
78.3, 0
78.4, 0
78.5, 0
78.6, 0
78.7, 0
78.8, 0
78.9, 0
79.0, 0
79.1, 0
79.2, 0
79.3, 0
79.4, 0
79.5, 0
79.6, 0
79.7, 0
79.8, 0
79.9, 0
80.0, 0
80.1, 0
80.2, 0
80.3, 0
80.4, 0
80.5, 0
80.6, 0
80.7, 0
80.8, 0
80.9, 0
81.0, 0
81.1, 0
81.2, 0
81.3, 0
81.4, 0
81.5, 0
81.6, 0
81.7, 0
81.8, 0
81.9, 0
82.0, 0
82.1, 0
82.2, 0
82.3, 0
82.4, 0
82.5, 0
82.6, 0
82.7, 0
82.8, 0
82.9, 0
83.0, 0
83.1, 0
83.2, 0
83.3, 0
83.4, 0
83.5, 0
83.6, 0
83.7, 0
83.8, 0
83.9, 0
84.0, 0
84.1, 0
84.2, 0
84.3, 0
84.4, 0
84.5, 0
84.6, 0
84.7, 0
84.8, 0
84.9, 0
85.0, 0
85.1, 0
85.2, 0
85.3, 0
85.4, 0
85.5, 0
85.6, 0
85.7, 0
85.8, 0
85.9, 0
86.0, 0
86.1, 0
86.2, 0
86.3, 0
86.4, 0
86.5, 0
86.6, 0
86.7, 0
86.8, 0
86.9, 0
87.0, 0
87.1, 0
87.2, 0
87.3, 0
87.4, 0
87.5, 0
87.6, 0
87.7, 0
87.8, 0
87.9, 0
88.0, 0
88.1, 0
88.2, 0
88.3, 0
88.4, 0
88.5, 0
88.6, 0
88.7, 0
88.8, 0
88.9, 0
89.0, 0
89.1, 0
89.2, 0
89.3, 0
89.4, 0
89.5, 0
89.6, 0
89.7, 0
89.8, 0
89.9, 0
90.0, 0
90.1, 0
90.2, 0
90.3, 0
90.4, 0
90.5, 0
90.6, 0
90.7, 0
90.8, 0
90.9, 0
91.0, 0
91.1, 0
91.2, 0
91.3, 0
91.4, 0
91.5, 0
91.6, 0
91.7, 0
91.8, 0
91.9, 0
92.0, 0
92.1, 0
92.2, 0
92.3, 0
92.4, 0
92.5, 0
92.6, 0
92.7, 0
92.8, 0
92.9, 0
93.0, 0
93.1, 0
93.2, 0
93.3, 0
93.4, 0
93.5, 0
93.6, 0
93.7, 0
93.8, 0
93.9, 0
94.0, 0
94.1, 0
94.2, 0
94.3, 0
94.4, 0
94.5, 0
94.6, 0
94.7, 0
94.8, 0
94.9, 0
95.0, 0
95.1, 0
95.2, 0
95.3, 0
95.4, 0
95.5, 0
95.6, 0
95.7, 0
95.8, 0
95.9, 0
96.0, 0
96.1, 0
96.2, 0
96.3, 0
96.4, 0
96.5, 0
96.6, 0
96.7, 0
96.8, 0
96.9, 0
97.0, 0
97.1, 0
97.2, 0
97.3, 0
97.4, 0
97.5, 0
97.6, 0
97.7, 0
97.8, 0
97.9, 0
98.0, 0
98.1, 0
98.2, 0
98.3, 0
98.4, 0
98.5, 0
98.6, 0
98.7, 0
98.8, 0
98.9, 0
99.0, 0
99.1, 0
99.2, 0
99.3, 0
99.4, 0
99.5, 0
99.6, 0
99.7, 0
99.8, 0
99.9, 0
100.0, 0
100.1, 0
100.2, 0
100.3, 0
100.4, 0
100.5, 0
100.6, 0
100.7, 0
100.8, 0
100.9, 0
101.0, 0
101.1, 0
101.2, 0
101.3, 0
101.4, 0
101.5, 0
101.6, 0
101.7, 0
101.8, 0
101.9, 0
102.0, 0
102.1, 0
102.2, 0
102.3, 0
102.4, 0
102.5, 0
102.6, 0
102.7, 0
102.8, 0
102.9, 0
103.0, 0
103.1, 0
103.2, 0
103.3, 0
103.4, 0
103.5, 0
103.6, 0
103.7, 0
103.8, 0
103.9, 0
104.0, 0
104.1, 0
104.2, 0
104.3, 0
104.4, 0
104.5, 0
104.6, 0
104.7, 0
104.8, 0
104.9, 0
105.0, 0
105.1, 0
105.2, 0
105.3, 0
105.4, 0
105.5, 0
105.6, 0
105.7, 0
105.8, 0
105.9, 0
106.0, 0
106.1, 0
106.2, 0
106.3, 0
106.4, 0
106.5, 0
106.6, 0
106.7, 0
106.8, 0
106.9, 0
107.0, 0
107.1, 0
107.2, 0
107.3, 0
107.4, 0
107.5, 0
107.6, 0
107.7, 0
107.8, 0
107.9, 0
108.0, 0
108.1, 0
108.2, 0
108.3, 0
108.4, 0
108.5, 0
108.6, 0
108.7, 0
108.8, 0
108.9, 0
109.0, 0
109.1, 0
109.2, 0
109.3, 0
109.4, 0
109.5, 0
109.6, 0
109.7, 0
109.8, 0
109.9, 0
110.0, 0
110.1, 0
110.2, 0
110.3, 0
110.4, 0
110.5, 0
110.6, 0
110.7, 0
110.8, 0
110.9, 0
111.0, 0
111.1, 0
111.2, 0
111.3, 0
111.4, 0
111.5, 0
111.6, 0
111.7, 0
111.8, 0
111.9, 0
112.0, 0
112.1, 0
112.2, 0
112.3, 0
112.4, 0
112.5, 0
112.6, 0
112.7, 0
112.8, 0
112.9, 0
113.0, 0
113.1, 0
113.2, 0
113.3, 0
113.4, 0
113.5, 0
113.6, 0
113.7, 0
113.8, 0
113.9, 0
114.0, 0
114.1, 0
114.2, 0
114.3, 0
114.4, 0
114.5, 0
114.6, 0
114.7, 0
114.8, 0
114.9, 0
115.0, 0
115.1, 0
115.2, 0
115.3, 0
115.4, 0
115.5, 0
115.6, 0
115.7, 0
115.8, 0
115.9, 0
116.0, 0
116.1, 0
116.2, 0
116.3, 0
116.4, 0
116.5, 0
116.6, 0
116.7, 0
116.8, 0
116.9, 0
117.0, 0
117.1, 0
117.2, 0
117.3, 0
117.4, 0
117.5, 0
117.6, 0
117.7, 0
117.8, 0
117.9, 0
118.0, 0
118.1, 0
118.2, 0
118.3, 0
118.4, 0
118.5, 0
118.6, 0
118.7, 0
118.8, 0
118.9, 0
119.0, 0
119.1, 0
119.2, 0
119.3, 0
119.4, 0
119.5, 0
119.6, 0
119.7, 0
119.8, 0
119.9, 0
120.0, 0
120.1, 0
120.2, 0
120.3, 0
120.4, 0
120.5, 0
120.6, 0
120.7, 0
120.8, 0
120.9, 0
121.0, 0
121.1, 0
121.2, 0
121.3, 0
121.4, 0
121.5, 0
121.6, 0
121.7, 0
121.8, 0
121.9, 0
122.0, 0
122.1, 0
122.2, 0
122.3, 0
122.4, 0
122.5, 0
122.6, 0
122.7, 0
122.8, 0
122.9, 0
123.0, 0
123.1, 0
123.2, 0
123.3, 0
123.4, 0
123.5, 0
123.6, 0
123.7, 0
123.8, 0
123.9, 0
124.0, 0
124.1, 0
124.2, 0
124.3, 0
124.4, 0
124.5, 0
124.6, 0
124.7, 0
124.8, 0
124.9, 0
125.0, 0
125.1, 0
125.2, 0
125.3, 0
125.4, 0
125.5, 0
125.6, 0
125.7, 0
125.8, 0
125.9, 0
126.0, 0
126.1, 0
126.2, 0
126.3, 0
126.4, 0
126.5, 0
126.6, 0
126.7, 0
126.8, 0
126.9, 0
127.0, 0
127.1, 0
127.2, 0
127.3, 0
127.4, 0
127.5, 0
127.6, 0
127.7, 0
127.8, 0
127.9, 0
128.0, 0
128.1, 0
128.2, 0
128.3, 0
128.4, 0
128.5, 0
128.6, 0
128.7, 0
128.8, 0
128.9, 0
129.0, 0
129.1, 0
129.2, 0
129.3, 0
129.4, 0
129.5, 0
129.6, 0
129.7, 0
129.8, 0
129.9, 0
130.0, 0
130.1, 0
130.2, 0
130.3, 0
130.4, 0
130.5, 0
130.6, 0
130.7, 0
130.8, 0
130.9, 0
131.0, 0
131.1, 0
131.2, 0
131.3, 0
131.4, 0
131.5, 0
131.6, 0
131.7, 0
131.8, 0
131.9, 0
132.0, 0
132.1, 0
132.2, 0
132.3, 0
132.4, 0
132.5, 0
132.6, 0
132.7, 0
132.8, 0
132.9, 0
133.0, 0
133.1, 0
133.2, 0
133.3, 0
133.4, 0
133.5, 0
133.6, 0
133.7, 0
133.8, 0
133.9, 0
134.0, 0
134.1, 0
134.2, 0
134.3, 0
134.4, 0
134.5, 0
134.6, 0
134.7, 0
134.8, 0
134.9, 0
135.0, 0
135.1, 0
135.2, 0
135.3, 0
135.4, 0
135.5, 0
135.6, 0
135.7, 0
135.8, 0
135.9, 0
136.0, 0
136.1, 0
136.2, 0
136.3, 0
136.4, 0
136.5, 0
136.6, 0
136.7, 0
136.8, 0
136.9, 0
137.0, 0
137.1, 0
137.2, 0
137.3, 0
137.4, 0
137.5, 0
137.6, 0
137.7, 0
137.8, 0
137.9, 0
138.0, 0
138.1, 0
138.2, 0
138.3, 0
138.4, 0
138.5, 0
138.6, 0
138.7, 0
138.8, 0
138.9, 0
139.0, 0
139.1, 0
139.2, 0
139.3, 0
139.4, 0
139.5, 0
139.6, 0
139.7, 0
139.8, 0
139.9, 0
140.0, 0
140.1, 0
140.2, 0
140.3, 0
140.4, 0
140.5, 0
140.6, 0
140.7, 0
140.8, 0
140.9, 0
141.0, 0
141.1, 0
141.2, 0
141.3, 0
141.4, 0
141.5, 0
141.6, 0
141.7, 0
141.8, 0
141.9, 0
142.0, 0
142.1, 0
142.2, 0
142.3, 0
142.4, 0
142.5, 0
142.6, 0
142.7, 0
142.8, 0
142.9, 0
143.0, 0
143.1, 0
143.2, 0
143.3, 0
143.4, 0
143.5, 0
143.6, 0
143.7, 0
143.8, 0
143.9, 0
144.0, 0
144.1, 0
144.2, 0
144.3, 0
144.4, 0
144.5, 0
144.6, 0
144.7, 0
144.8, 0
144.9, 0
145.0, 0
145.1, 0
145.2, 0
145.3, 0
145.4, 0
145.5, 0
145.6, 0
145.7, 0
145.8, 0
145.9, 0
146.0, 0
146.1, 0
146.2, 0
146.3, 0
146.4, 0
146.5, 0
146.6, 0
146.7, 0
146.8, 0
146.9, 0
147.0, 0
147.1, 0
147.2, 0
147.3, 0
147.4, 0
147.5, 0
147.6, 0
147.7, 0
147.8, 0
147.9, 0
148.0, 0
148.1, 0
148.2, 0
148.3, 0
148.4, 0
148.5, 0
148.6, 0
148.7, 0
148.8, 0
148.9, 0
149.0, 0
149.1, 0
149.2, 0
149.3, 0
149.4, 0
149.5, 0
149.6, 0
149.7, 0
149.8, 0
149.9, 0
150.0, 0
150.1, 0
150.2, 0
150.3, 0
150.4, 0
150.5, 0
150.6, 0
150.7, 0
150.8, 0
150.9, 0
151.0, 0
151.1, 0
151.2, 0
151.3, 0
151.4, 0
151.5, 0
151.6, 0
151.7, 0
151.8, 0
151.9, 0
152.0, 0
152.1, 0
152.2, 0
152.3, 0
152.4, 0
152.5, 0
152.6, 0
152.7, 0
152.8, 0
152.9, 0
153.0, 0
153.1, 0
153.2, 0
153.3, 0
153.4, 0
153.5, 0
153.6, 0
153.7, 0
153.8, 0
153.9, 0
154.0, 0
154.1, 0
154.2, 0
154.3, 0
154.4, 0
154.5, 0
154.6, 0
154.7, 0
154.8, 0
154.9, 0
155.0, 0
155.1, 0
155.2, 0
155.3, 0
155.4, 0
155.5, 0
155.6, 0
155.7, 0
155.8, 0
155.9, 0
156.0, 0
156.1, 0
156.2, 0
156.3, 0
156.4, 0
156.5, 0
156.6, 0
156.7, 0
156.8, 0
156.9, 0
157.0, 0
157.1, 0
157.2, 0
157.3, 0
157.4, 0
157.5, 0
157.6, 0
157.7, 0
157.8, 0
157.9, 0
158.0, 0
158.1, 0
158.2, 0
158.3, 0
158.4, 0
158.5, 0
158.6, 0
158.7, 0
158.8, 0
158.9, 0
159.0, 0
159.1, 0
159.2, 0
159.3, 0
159.4, 0
159.5, 0
159.6, 0
159.7, 0
159.8, 0
159.9, 0
160.0, 0
160.1, 0
160.2, 0
160.3, 0
160.4, 0
160.5, 0
160.6, 0
160.7, 0
160.8, 0
160.9, 0
161.0, 0
161.1, 0
161.2, 0
161.3, 0
161.4, 0
161.5, 0
161.6, 0
161.7, 0
161.8, 0
161.9, 0
162.0, 0
162.1, 0
162.2, 0
162.3, 0
162.4, 0
162.5, 0
162.6, 0
162.7, 0
162.8, 0
162.9, 0
163.0, 0
163.1, 0
163.2, 0
163.3, 0
163.4, 0
163.5, 0
163.6, 0
